"동대문구",1359,3557,840,2158,840,2158,...,...,...,...,519,1399,...,...,1403,3597,903,2258,903,2258,...,...,...,...,500,1339,...,...,1420,3536,1018,2484,1018,2484,-,-,...,...,402,1052,-,-,1561,4076,1033,2635,1032,2634,1,1,528,1441,-,-,1515,3968,984,2528,984,2528,-,-,531,1440,1515,3646,937,2244,935,2242,2,2,578,1402,1488,3506,389,1438,387,1436,2,2,1099,2068,1384,3227,352,1321,350,1319,2,2,1032,1906,1293,3004,313,1159,313,1159,-,-,980,1845,1157,2709,270,935,270,935,-,-,887,1774,1130,2658,208,758,208,758,-,-,-,-,922,1900,-,-,1067,2497,169,614,169,614,-,-,-,-,898,1883,-,-,957,2217,141,517,141,517,-,-,-,-,816,1700,-,-,922,2138,136,466,136,466,-,-,-,-,786,1672,-,-
"중랑구",2449,6487,1789,4650,1789,4650,...,...,...,...,660,1837,...,...,2253,5947,1765,4581,1764,4579,1,2,...,...,488,1366,...,...,2837,7187,2129,5326,2129,5326,-,-,...,...,708,1861,-,-,2803,7480,2273,5993,2261,5969,12,24,530,1487,-,-,2792,7459,2229,5893,2225,5889,4,4,563,1566,2730,6716,1998,4872,1998,4872,-,-,732,1844,2670,6397,783,3009,781,3007,2,2,1887,3388,2493,5929,670,2669,670,2669,-,-,1823,3260,2425,5765,649,2458,644,2453,5,5,1776,3307,2295,5413,576,2009,571,2004,5,5,1719,3404,2228,5178,434,1479,432,1477,2,2,-,-,1794,3699,-,-,2087,4909,311,1052,311,1052,-,-,-,-,1776,3857,-,-,2037,4809,279,966,279,966,-,-,-,-,1758,3843,-,-,1946,4583,233,814,233,814,-,-,-,-,1713,3769,-,-
"성북구",1532,3962,1117,2792,1117,2792,...,...,...,...,415,1170,...,...,1133,2938,873,2217,873,2217,...,...,...,...,260,721,...,...,1836,4767,1285,3280,1253,3212,32,68,...,...,551,1487,-,-,1851,4775,1254,3193,1225,3125,29,68,597,1582,-,-,1878,4811,1238,3127,1231,3120,7,7,640,1684,1798,4374,1120,2723,1115,2718,5,5,678,1651,1823,4357,558,1937,554,1933,4,4,1265,2420,1679,4027,497,1782,491,1776,6,6,1182,2245,1608,3867,493,1687,484,1678,9,9,1115,2180,1433,3348,375,1261,371,1257,4,4,1058,2087,1406,3242,271,902,263,894,8,8,-,-,1135,2340,-,-,1313,3028,193,676,189,672,4,4,-,-,1120,2352,-,-,1350,3112,176,629,176,629,-,-,-,-,1174,2483,-,-,1346,3129,180,620,175,615,5,5,-,-,1166,2509,-,-
"강북구",1978,5150,1216,3085,1216,3085,...,...,...,...,762,2065,...,...,2326,6041,1268,3235,1268,3235,...,...,...,...,1058,2806,...,...,2435,6260,1615,4143,1615,4143,-,-,...,...,820,2117,-,-,2496,6621,1605,4161,1603,4155,2,6,891,2460,-,-,2588,6935,1626,4228,1624,4226,2,2,962,2707,2568,6220,1487,3603,1487,3603,-,-,1081,2617,2492,5872,611,2286,611,2286,-,-,1881,3586,2259,5306,568,2080,568,2080,-,-,1691,3226,2161,5087,551,1947,550,1946,1,1,1610,3140,1962,4573,470,1576,470,1576,-,-,1492,2997,1828,4266,349,1210,349,1210,-,-,-,-,1479,3056,-,-,1707,3955,262,910,262,910,-,-,-,-,1445,3045,-,-,1642,3821,247,831,247,831,-,-,-,-,1395,2990,-,-,1581,3672,223,719,223,719,-,-,-,-,1358,2953,-,-
"도봉구",1246,3254,1019,2609,1019,2609,...,...,...,...,227,645,...,...,1732,5067,1184,3444,1184,3444,...,...,...,...,548,1623,...,...,1795,4555,1149,3409,1149,3409,-,-,...,...,646,1146,-,-,1910,5015,1441,3745,1433,3731,8,14,469,1270,-,-,1990,5253,1469,3848,1463,3842,6,6,521,1405,1978,4898,1304,3216,1300,3212,4,4,674,1682,2028,4839,583,2097,576,2090,7,7,1445,2742,1944,4588,493,1865,486,1858,7,7,1451,2723,1829,4307,435,1642,430,1637,5,5,1394,2665,1664,3927,393,1411,391,1409,2,2,1271,2516,1624,3838,321,1168,319,1166,2,2,-,-,1303,2670,-,-,1531,3610,253,887,253,887,-,-,-,-,1278,2723,-,-,1484,3490,243,810,243,810,-,-,-,-,1241,2680,-,-,1471,3474,210,705,210,705,-,-,-,-,1261,2769,-,-
"노원구",2121,5433,1127,2893,1103,2837,24,56,...,...,994,2540,...,...,2613,6785,1221,3076,1219,3072,2,4,...,...,1392,3709,...,...,2847,7533,1237,3280,1227,3257,10,23,...,...,1609,4250,1,3,2983,7933,1580,4091,1546,4013,34,78,1402,3839,1,3,3010,8001,1569,4105,1569,4105,-,-,1441,3896,3075,7420,1500,3659,1496,3655,4,4,1575,3761,3064,7220,728,2604,727,2603,1,1,2336,4616,2854,6611,638,2315,635,2312,3,3,2216,4296,2783,6367,590,2048,586,2044,4,4,2193,4319,2629,6003,477,1646,476,1645,1,1,2152,4357,2546,5825,339,1219,339,1219,-,-,-,-,2207,4606,-,-,2240,5071,216,799,216,799,-,-,-,-,2024,4272,-,-,2051,4600,222,752,221,751,1,1,-,-,1829,3848,-,-,1957,4457,210,708,209,707,1,1,-,-,1747,3749,-,-
"은평구",1836,4876,1290,3356,1289,3354,1,2,...,...,546,1520,...,...,2197,6601,1490,4554,1490,4554,...,...,...,...,707,2047,...,...,2397,5982,1781,4458,1781,4458,-,-,...,...,616,1524,-,-,2580,6870,1845,4831,1844,4830,1,1,735,2039,-,-,2545,6751,1807,4748,1806,4747,1,1,738,2003,2622,6453,1690,4124,1690,4124,-,-,932,2329,2555,6143,696,2594,696,2594,-,-,1859,3549,2378,5664,593,2328,593,2328,-,-,1785,3336,2260,5355,516,1867,514,1865,2,2,1744,3488,2114,4967,492,1651,490,1649,2,2,1622,3316,2077,4789,366,1244,364,1242,2,2,-,-,1711,3545,-,-,1897,4330,240,860,240,860,-,-,-,-,1657,3470,-,-,1803,4129,217,790,217,790,-,-,-,-,1586,3339,-,-,1790,4119,221,767,219,765,2,2,-,-,1569,3352,-,-
"서대문구",930,2383,713,1812,708,1802,5,10,...,...,217,571,...,...,1122,2826,793,1978,793,1978,...,...,...,...,329,848,...,...,1131,2842,895,2241,876,2203,19,38,...,...,236,601,-,-,1297,3327,938,2382,933,2370,5,12,359,945,-,-,1294,3332,926,2353,919,2346,7,7,368,979,1245,2963,864,2063,856,2055,8,8,381,900,1295,3035,473,1529,465,1521,8,8,822,1506,1139,2679,386,1280,378,1272,8,8,753,1399,1102,2597,369,1197,369,1197,-,-,733,1400,1036,2411,339,1045,338,1044,1,1,697,1366,960,2216,250,758,250,758,-,-,-,-,710,1458,-,-,886,2037,170,531,168,529,2,2,-,-,716,1506,-,-,878,1983,161,493,159,491,2,2,-,-,717,1490,-,-,819,1850,137,417,137,417,-,-,-,-,682,1433,-,-
"마포구",1036,2676,746,1897,746,1897,...,...,...,...,290,779,...,...,1101,2807,761,1902,761,1902,...,...,...,...,340,905,...,...,1067,3121,762,1999,760,1995,2,4,...,...,305,1122,-,-,1127,2988,759,1988,759,1988,-,-,368,1000,-,-,1146,3010,774,2014,774,2014,-,-,372,996,1132,2767,708,1728,708,1728,-,-,424,1039,1092,2572,427,1236,417,1226,10,10,665,1336,978,2267,373,1054,353,1034,20,20,605,1213,981,2264,333,974,317,958,16,16,648,1290,905,2073,265,770,253,758,12,12,640,1303,860,1938,202,594,198,590,4,4,-,-,658,1344,-,-,812,1828,171,488,167,484,4,4,-,-,641,1340,-,-,764,1720,148,434,146,432,2,2,-,-,616,1286,-,-,717,1641,140,405,140,405,-,-,-,-,577,1236,-,-
"양천구",1571,4097,1115,2884,1115,2884,...,...,...,...,456,1213,...,...,1497,3947,1246,3205,1246,3205,...,...,...,...,251,742,...,...,1939,5124,1414,3606,1414,3606,-,-,...,...,525,1518,-,-,1869,4948,1437,3761,1431,3750,6,11,432,1187,-,-,1800,4776,1377,3641,1377,3641,-,-,423,1135,1837,4560,1247,3071,1244,3068,3,3,590,1489,1787,4351,512,1928,512,1928,-,-,1275,2423,1623,3929,451,1719,451,1719,-,-,1172,2210,1606,3838,442,1588,442,1588,-,-,1164,2250,1536,3680,358,1276,358,1276,-,-,1178,2404,1512,3553,254,948,254,948,-,-,-,-,1258,2605,-,-,1441,3345,195,720,195,720,-,-,-,-,1246,2625,-,-,1351,3169,193,680,193,680,-,-,-,-,1158,2489,-,-,1335,3129,178,633,178,633,-,-,-,-,1157,2496,-,-
