"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022
"자치구별(1)",자치구별(2),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%),지역내총생산 (당해년 가격) (백만원),구성비 (%),인구(추계인구) (명),1인당 지역내총생산 (천원),수준지수 (서울특별시=100) (%)
"서울시",서대문구,7267605,1.9,309797,23459,60.29,7885982,1.9,318355,24771,59.95,8069571,1.9,321480,25101,57.40,8313860,1.8,319448,26026,55.95,8642027,1.9,320173,26992,55.97,8394365,1.8,317188,26465,53.83,8978522,1.8,313930,28600,53.55,8776167,1.7,316135,27761,49.49
"서울시",마포구,17526249,4.5,381936,45888,117.93,18415850,4.5,376613,48899,118.35,18948326,4.4,370277,51173,117.02,20357606,4.5,368647,55222,118.73,20660850,4.4,369130,55972,116.07,21010217,4.4,367091,57234,116.41,22791466,4.5,365136,62419,116.87,23169325,4.4,362971,63832,113.80
"서울시",양천구,6372503,1.6,466758,13653,35.09,6575328,1.6,462973,14202,34.37,6961853,1.6,454126,15330,35.06,7338018,1.6,448648,16356,35.16,7376719,1.6,443026,16651,34.53,7462361,1.6,441402,16906,34.39,7855631,1.5,435359,18044,33.79,8287264,1.6,428903,19322,34.45
"서울시",강서구,11557953,3.0,570097,20274,52.10,12822578,3.1,573224,22369,54.14,16401771,3.8,580674,28246,64.59,17203888,3.8,582377,29541,63.51,17422280,3.7,578578,30112,62.44,16942069,3.6,569177,29766,60.54,18411268,3.6,560939,32822,61.46,20790054,3.9,557793,37272,66.45
"서울시",구로구,12740357,3.3,446416,28539,73.35,13728556,3.4,442766,31006,75.04,14541118,3.4,438700,33146,75.80,15644516,3.5,432270,36192,77.81,16326446,3.5,431001,37880,78.55,15445696,3.3,434846,35520,72.25,16121175,3.2,429461,37538,70.29,17326224,3.3,422716,40988,73.07
"서울시",금천구,14844236,3.8,251607,58998,151.62,16910509,4.2,248820,67963,164.48,18785030,4.4,250238,75069,171.66,19714847,4.4,247849,79544,171.01,20253073,4.3,248970,81347,168.69,18920024,4.0,249361,75874,154.32,19620062,3.9,248029,79104,148.11,21034407,4.0,247305,85055,151.63
"서울시",영등포구,30683968,7.9,407853,75233,193.35,30593679,7.5,403389,75842,183.55,32228849,7.5,392703,82069,187.67,35719274,7.9,393689,90730,195.06,37253391,8.0,394163,94513,195.99,41742081,8.8,399825,104401,212.35,47581928,9.4,405738,117273,219.58,50054466,9.5,399946,125153,223.11
"서울시",동작구,5669751,1.5,412313,13751,35.34,6124227,1.5,408043,15009,36.32,6534511,1.5,401213,16287,37.24,6683107,1.5,398068,16789,36.10,6660009,1.4,402977,16527,34.27,7158203,1.5,395249,18111,36.84,7278402,1.4,389147,18703,35.02,7614908,1.4,387889,19632,35.00
"서울시",관악구,5232052,1.4,521481,10033,25.78,6125251,1.5,519316,11795,28.55,5390182,1.3,512435,10519,24.05,5413727,1.2,511996,10574,22.73,5586873,1.2,511328,10926,22.66,5865094,1.2,505188,11610,23.61,6096406,1.2,496221,12286,23.00,6484912,1.2,494347,13118,23.39
"서울시",서초구,30023717,7.8,420368,71422,183.55,33516210,8.2,418215,80141,193.96,34073087,8.0,415982,81910,187.30,36465683,8.1,413435,88202,189.63,37360049,8.0,405612,92108,191.00,37873149,8.0,405077,93496,190.17,40707817,8.0,396100,102772,192.43,40252087,7.6,383939,104840,186.90
"서울시",강남구,68735259,17.8,540548,127158,326.80,69094027,17.0,534889,129175,312.63,72893074,17.1,526768,138378,316.43,78135292,17.3,511896,152639,328.17,83473761,17.9,508287,164226,340.55,83304379,17.6,509281,163573,332.70,88825651,17.5,501576,177093,331.58,90033713,17.0,499817,180133,321.13
"서울시",송파구,23003743,5.9,637828,36066,92.69,24117344,5.9,627130,38457,93.07,26840097,6.3,632431,42440,97.05,27463661,6.1,638411,43019,92.49,28293817,6.1,650895,43469,90.14,30485678,6.4,645798,47206,96.02,32580044,6.4,633013,51468,96.37,33775727,6.4,637016,53022,94.52
"서울시",강동구,7789618,2.0,449659,17323,44.52,8262265,2.0,434929,18997,45.98,9225979,2.2,432556,21329,48.77,9502798,2.1,417807,22744,48.90,9985141,2.1,409903,24360,50.51,9973937,2.1,443058,22512,45.79,10054571,2.0,451998,22245,41.65,10328424,2.0,448729,23017,41.03
