"자치구별(1)",자치구별(2),2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024
"자치구별(1)",자치구별(2),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소),초·중·고 학생수 (명),사설학원수 (개소),학생1만명당 사설학원수 (개소)
"합계",소계,1274028,13168,103.4,1219799,13477,110.5,1161632,13688,117.8,1107766,13405,121.0,1064741,13671,128.4,1022447,13989,136.8,975589,13974,143.2,938302,14189,151.2,900684,14080,156.3,866395,14044,162.1,840933,13992,166.4,825503,13809,167.3,806340,14414,178.8,784871,14832,189.0,766206,14688,191.7
"합계",종로구,28153,250,88.8,27180,299,110.0,25871,278,107.5,24799,280,112.9,23702,273,115.2,22672,261,115.1,21270,278,130.7,19758,297,150.3,18468,274,148.4,17363,259,149.2,16452,243,147.7,15912,217,136.4,15187,248,163.3,14491,252,173.9,14085,216,153.4
"합계",중구,22436,129,57.5,21240,144,67.8,19939,142,71.2,18932,135,71.3,17991,129,71.7,17335,126,72.7,15918,127,79.8,15256,128,83.9,14751,119,80.7,14115,118,83.6,13566,109,80.3,12798,91,71.1,11987,108,90.1,11553,113,97.8,11236,112,99.7
"합계",용산구,26177,155,59.2,24596,161,65.5,23446,166,70.8,22371,166,74.2,21576,162,75.1,20589,163,79.2,19668,165,83.9,18780,175,93.2,17855,158,88.5,16852,155,92.0,15852,154,97.1,15116,137,90.6,14270,151,105.8,13643,148,108.5,12859,140,108.9
"합계",성동구,33385,289,86.6,31878,287,90.0,30240,274,90.6,28713,262,91.3,27151,262,96.5,25511,275,107.8,24317,279,114.7,23857,295,123.7,23086,314,136.0,22045,293,132.9,20447,289,141.3,19454,290,149.1,18871,294,155.8,18088,319,176.4,17234,313,181.6
"합계",광진구,46923,435,92.7,44001,427,97.0,41866,450,107.5,39886,420,105.3,38014,438,115.2,36099,446,123.6,34155,429,125.6,32417,442,136.4,31084,430,138.3,29965,406,135.5,28972,405,139.8,28422,426,149.9,27738,441,159.0,26848,458,170.6,26026,434,166.8
"합계",동대문구,41770,342,81.9,39559,352,89.0,37386,315,84.3,35561,331,93.1,34374,328,95.4,33295,349,104.8,31535,355,112.6,30290,360,118.9,28755,363,126.2,27509,368,133.8,26533,350,131.9,25982,359,138.2,25443,388,152.5,24976,399,159.8,24690,412,166.9
"합계",중랑구,47191,366,77.6,44157,354,80.2,41263,330,80.0,38779,321,82.8,36679,198,54.0,34708,297,85.6,32578,306,93.9,31119,288,92.6,29754,273,91.8,28596,276,96.5,27353,262,95.8,26418,257,97.3,25922,271,104.5,25428,277,108.9,24615,284,115.4
"합계",성북구,56354,460,81.6,54571,449,82.3,52502,484,92.2,50201,466,92.8,48609,455,93.6,46362,433,93.4,44979,453,100.7,42676,457,107.1,41039,464,113.1,39384,450,114.3,37884,439,115.9,37151,451,121.4,36247,469,129.4,35160,471,134.0,33852,471,139.1
"합계",강북구,34158,277,81.1,32998,254,77.0,31403,254,80.9,30081,248,82.4,28553,234,82.0,26925,227,84.3,25351,233,91.9,24222,227,93.7,23174,218,94.1,22134,209,94.4,21398,206,96.3,20697,210,101.5,19829,217,109.4,19329,221,114.3,18563,223,120.1
"합계",도봉구,48218,221,45.8,45408,270,59.5,42463,341,80.3,39860,263,66.0,37843,385,101.7,35664,366,102.6,33608,374,111.3,32149,360,112.0,30707,335,109.1,29268,317,108.3,27661,297,107.4,26725,285,106.6,25784,299,116.0,24609,308,125.2,23552,310,131.6
"합계",노원구,101947,393,38.6,97838,456,46.6,93356,645,69.1,88862,593,66.7,84636,791,93.5,80782,780,96.6,76307,794,104.1,72169,775,107.4,67933,747,110.0,63924,740,115.8,61078,718,117.6,59041,684,115.9,56318,726,128.9,53670,737,137.3,51616,739,143.2
"합계",은평구,62628,532,85.0,61966,532,85.9,60239,536,89.0,58152,485,83.4,56189,436,77.6,53537,515,96.2,51292,469,91.4,49191,521,105.9,46992,521,110.9,45177,525,116.2,43300,519,119.9,42217,509,120.6,41023,525,128.0,39772,543,136.5,38767,538,138.8
