"시점","자치구별(1)",자치구별(2),일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자
"시점","자치구별(1)",자치구별(2),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상
"2021","합계",양천구,17205,178,449,892,1117,711,423,339,455,659,1034,1291,1399,1691,1716,1470,1346,2035
"2021","합계",강서구,30518,270,709,1140,1494,1165,731,615,807,1096,1505,2197,2693,3374,3504,2719,2509,3990
"2021","합계",구로구,13382,167,398,659,854,489,237,282,410,518,757,1013,1045,1243,1306,1164,1146,1694
"2021","합계",금천구,12302,124,283,519,687,469,254,239,248,413,657,1068,1194,1379,1267,1041,1009,1451
"2021","합계",영등포구,11339,76,200,319,482,328,178,165,262,414,559,922,1146,1367,1422,1198,964,1337
"2021","합계",동작구,12867,79,247,447,655,528,340,348,384,489,752,990,1041,1283,1359,1161,1085,1679
"2021","합계",관악구,22555,178,435,801,1017,973,615,727,744,974,1344,1881,2068,2361,2286,1793,1751,2607
"2021","합계",서초구,7263,57,232,361,405,322,199,128,185,314,416,636,619,760,759,584,528,758
"2021","합계",강남구,15237,147,269,481,747,659,372,380,491,638,830,1169,1312,1679,1770,1449,1278,1566
"2021","합계",송파구,17388,192,490,857,1104,808,409,415,538,720,1063,1446,1555,1757,1729,1385,1185,1735
"2021","합계",강동구,16213,128,377,727,949,636,345,339,426,669,965,1335,1528,1744,1786,1327,1147,1785
"2022","합계",소계,402664,3127,8396,15524,20706,14714,8731,8373,9691,14938,21351,32100,35036,42973,44966,36604,32741,52693
"2022","합계",종로구,5195,20,51,149,190,95,77,89,103,143,233,390,565,674,718,527,466,705
"2022","합계",중구,6035,24,80,163,225,144,72,97,94,162,257,423,558,733,836,704,567,896
"2022","합계",용산구,8837,47,136,253,390,265,147,188,186,349,464,801,850,1062,1033,795,722,1149
"2022","합계",성동구,10026,38,153,292,465,347,215,181,167,283,464,816,905,1219,1177,926,912,1466
"2022","합계",광진구,13446,108,294,609,783,564,346,348,351,538,804,1245,1342,1575,1431,1009,835,1264
"2022","합계",동대문구,16156,102,288,567,731,496,281,265,328,505,790,1231,1447,1890,2075,1619,1397,2144
"2022","합계",중랑구,27468,246,699,1165,1501,922,606,495,648,1086,1526,2364,2598,3091,3050,2366,1891,3214
"2022","합계",성북구,16832,158,397,753,1055,623,350,279,387,594,954,1353,1400,1644,1784,1447,1337,2317
"2022","합계",강북구,22602,159,471,914,1179,809,463,425,497,761,1235,1870,2040,2353,2379,2097,2003,2947
"2022","합계",도봉구,15883,147,413,800,1021,626,386,318,384,679,966,1369,1271,1475,1539,1216,1160,2113
"2022","합계",노원구,31820,190,626,1144,1563,1204,717,582,686,1128,1666,2467,2640,3312,3325,3066,2836,4668
"2022","합계",은평구,24365,204,560,1019,1444,1120,589,503,530,901,1346,1937,1989,2326,2460,2161,2019,3257
"2022","합계",서대문구,11661,146,230,432,615,467,239,239,263,379,584,894,944,1129,1266,1002,983,1849
"2022","합계",마포구,10910,132,147,354,521,441,228,206,273,370,631,829,892,1078,1142,1039,1036,1591
"2022","합계",양천구,17477,157,405,834,1054,634,399,339,407,657,977,1291,1411,1779,1867,1585,1403,2278
"2022","합계",강서구,31227,237,660,1073,1445,1094,710,631,733,1133,1400,2206,2561,3532,3748,3015,2659,4390
"2022","합계",구로구,14363,157,394,662,849,496,274,317,419,573,750,1050,1090,1325,1508,1333,1218,1948
"2022","합계",금천구,12964,125,274,492,659,439,268,242,279,430,618,1071,1287,1519,1446,1104,1054,1657
"2022","합계",영등포구,11603,59,188,302,423,313,180,195,242,392,553,919,1121,1379,1502,1297,1005,1533
"2022","합계",동작구,12989,78,229,417,592,486,303,337,361,499,668,1036,1026,1326,1409,1225,1158,1839
"2022","합계",관악구,22946,139,444,759,973,848,571,755,729,990,1306,1912,2058,2435,2493,1891,1741,2902
"2022","합계",서초구,7523,57,183,387,373,325,201,160,202,295,411,624,619,791,871,653,547,824
"2022","합계",강남구,15532,106,237,464,695,618,375,367,464,684,787,1147,1287,1649,1936,1585,1330,1801
"2022","합계",송파구,17773,170,461,822,1058,744,405,423,527,743,1016,1482,1535,1778,1957,1474,1290,1888
"2022","합계",강동구,17031,121,376,698,902,594,329,392,431,664,945,1373,1600,1899,2014,1468,1172,2053
"2023","합계",소계,417935,2902,7953,14968,20089,14413,8957,8870,9987,15741,20328,31865,36372,44650,49199,39207,35365,57069
"2023","합계",종로구,5290,20,49,119,170,104,76,93,108,141,214,365,570,672,789,543,486,771
"2023","합계",중구,6178,30,71,149,215,130,79,91,95,165,231,432,514,771,866,771,599,969
"2023","합계",용산구,9042,55,131,229,366,262,151,176,216,338,440,806,857,1125,1095,829,734,1232
"2023","합계",성동구,10354,38,148,280,456,351,194,186,199,294,443,761,944,1268,1276,980,932,1604
"2023","합계",광진구,13948,96,282,581,763,546,365,363,376,563,757,1196,1415,1632,1597,1077,916,1423
"2023","합계",동대문구,16345,93,295,521,691,478,257,259,333,523,701,1189,1462,1908,2176,1706,1465,2288
"2023","합계",중랑구,28494,232,645,1139,1438,952,634,514,634,1099,1426,2376,2758,3316,3369,2510,2054,3398
"2023","합계",성북구,17546,147,398,698,1063,599,366,315,363,639,890,1388,1448,1731,1971,1579,1437,2514
"2023","합계",강북구,23803,184,462,874,1109,759,486,474,505,838,1126,1836,2201,2489,2602,2317,2154,3387
"2023","합계",도봉구,16857,135,392,783,1025,629,379,350,386,684,974,1391,1432,1575,1785,1333,1257,2347
"2023","합계",노원구,32168,154,570,1063,1492,1182,688,591,689,1133,1580,2375,2681,3238,3582,3149,3037,4964
"2023","합계",은평구,25217,202,543,989,1362,1075,626,537,589,939,1248,1956,2049,2374,2723,2307,2152,3546
"2023","합계",서대문구,12020,111,215,390,566,482,278,251,265,414,527,902,985,1179,1331,1050,1041,2033
"2023","합계",마포구,11115,85,153,332,469,428,282,228,283,415,585,838,908,1125,1235,1097,1125,1527
"2023","합계",양천구,18562,147,405,790,1095,663,392,357,434,670,970,1317,1500,1867,2117,1734,1513,2591
"2023","합계",강서구,32460,214,608,1089,1466,1050,694,687,740,1194,1381,2169,2571,3575,4076,3298,2936,4712
"2023","합계",구로구,15263,156,395,682,817,528,273,331,440,632,738,1085,1164,1371,1649,1499,1338,2165
"2023","합계",금천구,13728,119,274,476,659,441,281,273,293,463,580,1047,1353,1675,1595,1234,1142,1823
"2023","합계",영등포구,11955,39,150,284,432,294,203,195,245,402,496,884,1169,1421,1646,1311,1144,1640
"2023","합계",동작구,13224,71,206,412,563,417,298,353,362,552,662,995,1041,1312,1540,1273,1210,1957
"2023","합계",관악구,24002,145,382,737,972,761,591,813,778,1099,1261,1899,2124,2654,2735,2041,1907,3103
"2023","합계",서초구,7846,67,159,373,362,321,204,176,204,327,381,640,652,783,996,696,615,890
"2023","합계",강남구,15856,76,218,455,667,578,378,380,452,712,793,1148,1293,1659,2032,1626,1464,1925
"2023","합계",송파구,18722,159,439,845,999,783,428,468,535,792,1026,1479,1626,1902,2167,1608,1404,2062
"2023","합계",강동구,17940,127,363,678,872,600,354,409,463,713,898,1391,1655,2028,2249,1639,1303,2198
"2024","합계",소계,434287,2774,7565,14469,19337,14522,9665,9854,10484,15651,20421,31172,37278,45367,53206,42663,38299,61560
"2024","합계",종로구,5605,20,56,123,187,125,80,118,117,152,223,374,563,703,865,573,510,816
"2024","합계",중구,6331,29,74,132,197,128,81,90,114,158,218,411,533,738,929,828,641,1030
"2024","합계",용산구,8744,52,111,220,318,242,167,208,207,333,425,693,863,1057,1087,853,715,1193
"2024","합계",성동구,10497,38,133,270,421,330,205,199,209,300,419,709,971,1226,1341,1036,997,1693
"2024","합계",광진구,14697,99,261,554,752,538,432,406,412,598,769,1160,1468,1672,1801,1219,972,1584
"2024","합계",동대문구,16762,75,295,487,692,445,273,288,340,479,703,1144,1444,1906,2326,1874,1557,2434
"2024","합계",중랑구,29794,215,627,1114,1369,1019,663,627,660,1058,1462,2284,2843,3436,3814,2758,2243,3602
"2024","합계",성북구,18130,148,389,687,979,639,394,340,403,619,877,1366,1487,1824,2081,1641,1550,2706
"2024","합계",강북구,25010,179,438,860,1064,774,514,482,525,848,1148,1800,2259,2605,2912,2541,2362,3699
"2024","합계",도봉구,17914,147,398,796,994,663,413,425,420,680,954,1402,1546,1635,2015,1486,1362,2578
"2024","합계",노원구,32542,150,481,1001,1389,1150,732,608,692,1087,1538,2247,2712,3239,3741,3277,3239,5259
"2024","합계",은평구,26401,199,512,957,1351,1119,651,606,592,939,1271,1983,2159,2465,2950,2442,2331,3874
"2024","합계",서대문구,12272,96,208,378,535,477,289,281,260,406,505,866,1014,1206,1367,1156,1130,2098
"2024","합계",마포구,11969,69,152,303,457,437,307,269,310,396,589,865,995,1131,1303,1185,1196,2005
"2024","합계",양천구,19469,143,364,747,1061,694,433,391,475,676,955,1364,1531,1904,2312,1922,1701,2796
"2024","합계",강서구,33690,203,587,1062,1384,1064,769,745,800,1214,1426,2105,2596,3454,4407,3677,3163,5034
"2024","합계",구로구,16352,159,390,700,821,572,301,414,431,646,763,1124,1224,1466,1815,1625,1533,2368
"2024","합계",금천구,14460,102,283,464,647,422,301,327,319,467,587,1028,1392,1764,1809,1363,1236,1949
"2024","합계",영등포구,12276,43,130,259,408,301,224,233,260,394,522,836,1137,1430,1736,1419,1223,1721
"2024","합계",동작구,13324,67,198,390,509,405,300,348,371,510,655,961,1046,1262,1624,1311,1293,2074
"2024","합계",관악구,25204,133,365,721,935,775,664,858,864,1088,1311,1899,2184,2757,2927,2289,2058,3376
"2024","합계",서초구,8046,65,144,348,363,308,213,198,204,319,380,599,670,769,1052,774,689,951
"2024","합계",강남구,16396,78,184,429,651,594,380,425,443,740,817,1126,1309,1658,2170,1715,1595,2082
"2024","합계",송파구,19449,135,433,813,1011,722,462,511,551,798,1011,1459,1684,1933,2354,1792,1521,2259
"2024","합계",강동구,18953,130,352,654,842,579,417,457,505,746,893,1367,1648,2127,2468,1907,1482,2379
