서울시,동대문구,4,256,3,116,1,140,4,265,3,136,1,129,6,282,5,170,1,112,6,179,6,179,-,-,6,179,6,179,-,-,7,186,7,186,-,-,9,249,9,249,-,-,9,262,9,262,-,-,12,295,12,295,-,-,13,374,13,374,-,-,13,383,13,383,-,-,13,387,13,387,186,201,-,-,13,383,13,383,198,185,-,-,13,419,13,419,217,202,-,-,13,415,13,415,215,200,-,-,14,442,14,442,230,212,-,-,15,371,15,371,189,182,-,-,15,392,15,392,206,186,-,-,15,399,15,399,210,189,-,-
서울시,중랑구,14,450,13,430,1,20,10,337,10,337,-,-,-,-,-,-,-,-,26,755,25,755,1,-,26,740,25,740,1,-,27,663,26,663,1,-,26,736,25,736,1,-,25,813,25,813,-,-,26,809,25,759,1,50,26,718,25,668,1,50,26,705,25,655,1,50,25,717,24,667,324,343,1,50,25,720,24,670,347,323,1,50,25,762,24,712,369,343,1,50,25,764,24,714,370,344,1,50,24,740,23,679,353,326,1,61,23,660,22,610,322,288,1,50,24,657,23,607,326,281,1,50,24,1172,23,631,333,298,1,541
서울시,성북구,19,653,19,653,-,-,15,593,15,593,-,-,19,734,19,734,-,-,25,749,25,749,-,-,27,704,27,704,-,-,26,668,26,668,-,-,27,724,27,724,-,-,27,873,27,873,-,-,28,853,28,853,-,-,27,835,27,835,-,-,26,780,26,780,-,-,27,787,27,787,405,382,-,-,27,772,27,772,400,372,-,-,27,878,27,878,455,423,-,-,27,899,27,899,466,433,-,-,27,886,27,886,461,425,-,-,26,733,26,733,355,378,-,-,24,719,24,719,347,372,-,-,23,723,23,723,350,373,-,-
서울시,강북구,14,289,14,289,-,-,14,354,14,354,-,-,-,-,-,-,-,-,25,640,25,640,-,-,23,570,23,570,-,-,22,468,22,468,-,-,24,458,24,458,-,-,23,551,23,551,-,-,22,507,22,507,-,-,22,507,22,507,-,-,22,487,22,487,-,-,22,501,22,501,249,252,-,-,22,510,22,510,264,246,-,-,22,543,22,543,281,262,-,-,21,524,21,524,271,253,-,-,21,535,21,535,278,257,-,-,21,489,21,489,258,231,-,-,20,464,20,464,250,214,-,-,20,491,20,491,264,227,-,-
서울시,도봉구,3,79,3,79,-,-,2,78,2,78,-,-,7,164,7,164,-,-,11,306,11,306,-,-,15,370,15,370,-,-,18,286,18,286,-,-,17,470,17,470,-,-,17,584,17,584,-,-,17,511,17,511,-,-,18,520,18,520,-,-,18,552,18,552,-,-,18,546,18,546,317,229,-,-,18,566,18,566,293,273,-,-,18,620,18,620,321,299,-,-,18,611,18,611,316,295,-,-,17,571,17,571,297,274,-,-,17,496,17,496,261,235,-,-,17,505,17,505,259,246,-,-,17,502,17,502,266,236,-,-
서울시,노원구,7,243,7,243,-,-,6,196,6,196,-,-,10,341,10,341,-,-,11,331,11,331,-,-,11,314,11,314,-,-,13,350,13,350,-,-,13,295,13,295,-,-,17,473,17,473,-,-,17,431,17,431,-,-,16,365,16,365,-,-,18,449,18,449,-,-,21,555,21,555,277,278,-,-,23,592,23,592,307,285,-,-,23,673,23,673,349,324,-,-,23,677,23,677,351,326,-,-,23,674,23,674,350,324,-,-,23,682,23,682,339,343,-,-,23,628,23,628,299,329,-,-,22,602,22,602,291,311,-,-
서울시,은평구,-,-,-,-,-,-,8,276,8,276,-,-,-,-,-,-,-,-,15,454,15,454,-,-,20,588,20,588,-,-,22,465,22,465,-,-,26,760,26,760,-,-,28,848,28,848,-,-,27,756,27,756,-,-,28,768,28,768,-,-,27,805,27,805,-,-,27,754,27,754,425,329,-,-,26,777,26,777,402,375,-,-,27,884,27,884,458,426,-,-,27,873,27,873,452,421,-,-,27,878,27,878,457,421,-,-,28,810,28,810,421,389,-,-,28,812,28,812,430,382,-,-,28,883,28,883,473,410,-,-
서울시,서대문구,5,150,5,150,-,-,4,156,4,156,-,-,-,-,-,-,-,-,8,181,7,181,1,-,7,141,6,141,1,-,7,148,6,148,1,-,8,179,7,179,1,-,8,238,8,238,-,-,6,172,6,172,-,-,7,204,7,204,-,-,8,221,8,221,-,-,8,211,8,211,101,110,-,-,8,206,8,206,107,99,-,-,8,223,8,223,116,107,-,-,7,183,7,183,95,88,-,-,7,182,7,182,95,87,-,-,7,134,7,134,63,71,-,-,7,180,7,180,83,97,-,-,7,155,7,155,78,77,-,-
서울시,마포구,9,418,8,182,1,236,8,202,8,202,-,-,-,-,-,-,-,-,13,295,12,295,1,-,13,292,12,292,1,-,12,292,11,292,1,-,12,392,11,392,1,-,11,400,11,400,-,-,11,371,11,371,-,-,11,376,11,376,-,-,11,329,11,329,-,-,11,320,11,320,170,150,-,-,11,309,11,309,160,149,-,-,11,358,11,358,185,173,-,-,11,358,11,358,185,173,-,-,11,348,11,348,181,167,-,-,11,275,11,275,140,135,-,-,11,275,11,275,140,135,-,-,10,272,10,272,143,129,-,-
서울시,양천구,12,301,12,301,-,-,10,221,10,221,-,-,22,561,22,561,-,-,22,509,22,509,-,-,25,548,25,548,-,-,24,505,24,505,-,-,24,634,24,634,-,-,22,607,22,607,-,-,23,617,23,617,-,-,23,644,23,644,-,-,23,611,23,611,-,-,24,608,24,608,336,272,-,-,26,668,26,668,346,322,-,-,26,713,26,713,369,344,-,-,23,629,23,629,326,303,-,-,23,638,23,638,332,306,-,-,23,570,23,570,320,250,-,-,22,536,22,536,286,250,-,-,21,546,21,546,284,262,-,-
