checkpoint,step,loss
checkpoint-200,87,0.8915
checkpoint-200,88,0.9536
checkpoint-200,89,1.2312
checkpoint-200,90,1.1528
checkpoint-200,91,0.9623
checkpoint-200,92,1.2389
checkpoint-200,93,1.1067
checkpoint-200,94,1.0911
checkpoint-200,95,1.2159
checkpoint-200,96,1.0716
checkpoint-200,97,1.1277
checkpoint-200,98,0.9062
checkpoint-200,99,1.1296
checkpoint-200,100,1.0039
checkpoint-200,101,1.0564
checkpoint-200,102,0.8431
checkpoint-200,103,1.0593
checkpoint-200,104,0.9784
checkpoint-200,105,0.9254
checkpoint-200,106,1.0129
checkpoint-200,107,1.1274
checkpoint-200,108,0.9781
checkpoint-200,109,1.0268
checkpoint-200,110,0.8911
checkpoint-200,111,1.0072
checkpoint-200,112,1.073
checkpoint-200,113,0.9607
checkpoint-200,114,0.9806
checkpoint-200,115,1.0492
checkpoint-200,116,0.9785
checkpoint-200,117,1.0512
checkpoint-200,118,0.9459
checkpoint-200,119,1.1145
checkpoint-200,120,1.1222
checkpoint-200,121,1.0967
checkpoint-200,122,0.9572
checkpoint-200,123,0.9654
checkpoint-200,124,1.1143
checkpoint-200,125,1.172
checkpoint-200,126,1.0528
checkpoint-200,127,1.2007
checkpoint-200,128,0.9185
checkpoint-200,129,1.0759
checkpoint-200,130,1.007
checkpoint-200,131,1.0272
checkpoint-200,132,0.93
checkpoint-200,133,1.0849
checkpoint-200,134,1.0523
checkpoint-200,135,0.9968
checkpoint-200,136,1.0687
checkpoint-200,137,0.942
checkpoint-200,138,1.152
checkpoint-200,139,0.9519
checkpoint-200,140,1.0919
checkpoint-200,141,1.0384
checkpoint-200,142,1.1752
checkpoint-200,143,1.1313
checkpoint-200,144,1.0636
checkpoint-200,145,1.0392
checkpoint-200,146,1.0433
checkpoint-200,147,0.8222
checkpoint-200,148,1.0283
checkpoint-200,149,0.9284
checkpoint-200,150,0.9497
checkpoint-200,151,1.0026
checkpoint-200,152,0.9237
checkpoint-200,153,1.0284
checkpoint-200,154,0.9145
checkpoint-200,155,1.1775
checkpoint-200,156,0.7566
checkpoint-200,157,0.9588
checkpoint-200,158,1.007
checkpoint-200,159,0.8417
checkpoint-200,160,1.0347
checkpoint-200,161,0.9726
checkpoint-200,162,1.049
checkpoint-200,163,0.8788
checkpoint-200,164,1.0476
checkpoint-200,165,0.9043
checkpoint-200,166,1.1678
checkpoint-200,167,1.0755
checkpoint-200,168,1.0282
checkpoint-200,169,0.9003
checkpoint-200,170,1.1331
checkpoint-200,171,0.9778
checkpoint-200,172,0.9699
checkpoint-200,173,1.0499
checkpoint-200,174,0.896
checkpoint-200,175,1.047
checkpoint-200,176,0.941
checkpoint-200,177,0.8743
checkpoint-200,178,1.2263
checkpoint-200,179,1.0259
checkpoint-200,180,0.9705
checkpoint-200,181,1.039
checkpoint-200,182,1.1064
checkpoint-200,183,1.1922
checkpoint-200,184,1.0688
checkpoint-200,185,1.0113
checkpoint-200,186,0.916
checkpoint-200,187,1.2355
checkpoint-200,188,0.8513
checkpoint-200,189,1.0875
checkpoint-200,190,1.0065
checkpoint-200,191,1.0789
checkpoint-200,192,1.1171
checkpoint-200,193,1.0493
checkpoint-200,194,1.0696
checkpoint-200,195,1.0585
checkpoint-200,196,0.6586
checkpoint-200,197,0.9698
checkpoint-200,198,1.0444
checkpoint-200,199,0.973
checkpoint-200,200,0.9238
checkpoint-300,1,1.1195
checkpoint-300,2,1.3653
checkpoint-300,3,1.2226
checkpoint-300,4,1.1699
checkpoint-300,5,1.1524
checkpoint-300,6,1.1244
checkpoint-300,7,1.2815
checkpoint-300,8,1.0295
checkpoint-300,9,1.0391
checkpoint-300,10,1.156
checkpoint-300,11,1.4146
checkpoint-300,12,0.9349
checkpoint-300,13,1.0631
checkpoint-300,14,1.0353
checkpoint-300,15,1.0264
checkpoint-300,16,0.8815
checkpoint-300,17,0.9954
checkpoint-300,18,1.1243
checkpoint-300,19,1.0858
checkpoint-300,20,1.0245
checkpoint-300,21,1.231
checkpoint-300,22,1.1584
checkpoint-300,23,1.0932
checkpoint-300,24,1.0738
checkpoint-300,25,1.0597
checkpoint-300,26,1.0184
checkpoint-300,27,1.0452
checkpoint-300,28,1.1896
checkpoint-300,29,1.0358
checkpoint-300,30,1.1475
checkpoint-300,31,1.0854
checkpoint-300,32,1.0066
checkpoint-300,33,1.3475
checkpoint-300,34,1.1065
checkpoint-300,35,0.9722
checkpoint-300,36,1.1221
checkpoint-300,37,1.0334
checkpoint-300,38,1.15
checkpoint-300,39,1.0027
checkpoint-300,40,1.0497
checkpoint-300,41,0.9995
checkpoint-300,42,0.941
checkpoint-300,43,1.1565
checkpoint-300,44,1.1186
checkpoint-300,45,1.1118
checkpoint-300,46,0.9876
checkpoint-300,47,1.3152
checkpoint-300,48,1.057
checkpoint-300,49,0.8358
checkpoint-300,50,1.0848
checkpoint-300,51,1.1362
checkpoint-300,52,0.9764
checkpoint-300,53,1.0657
checkpoint-300,54,1.1368
checkpoint-300,55,0.9205
checkpoint-300,56,1.2212
checkpoint-300,57,0.9717
checkpoint-300,58,1.0985
checkpoint-300,59,1.0261
checkpoint-300,60,0.9306
checkpoint-300,61,1.0418
checkpoint-300,62,1.0275
checkpoint-300,63,1.0682
checkpoint-300,64,1.1245
checkpoint-300,65,1.0041
checkpoint-300,66,1.0952
checkpoint-300,67,0.9987
checkpoint-300,68,0.9293
checkpoint-300,69,1.0116
checkpoint-300,70,1.1126
checkpoint-300,71,1.0311
checkpoint-300,72,0.9871
checkpoint-300,73,1.1405
